ResearchID,Dialect,BlockDialect,HearsNativeDialect,Time,Maternal_Education_Group,Target,Missing,Others,Primary,Looks,Prop,PropSE,PropNA,Prop_Target,Child hears,Exp. vocab.,Maternal edu.,Native dialect,EVT_Standard
429D,AAE,AAE,TRUE,-500,High,12,10,29,12,54,0.2926829268292683,0.07105814025765193,0.18518518518518517,0.2926829268292683,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-450,High,12,11,30,12,54,0.2857142857142857,0.06970714806775237,0.2037037037037037,0.2857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-400,High,12,12,30,12,54,0.2857142857142857,0.06970714806775237,0.2222222222222222,0.2857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-350,High,12,12,30,12,54,0.2857142857142857,0.06970714806775237,0.2222222222222222,0.2857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-300,High,14,11,28,14,54,0.3333333333333333,0.07273929674533079,0.2037037037037037,0.3333333333333333,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-250,High,15,9,26,15,54,0.36585365853658536,0.07522401651262858,0.16666666666666666,0.36585365853658536,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-200,High,18,8,25,18,54,0.4186046511627907,0.0752321673512361,0.14814814814814814,0.4186046511627907,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-150,High,18,6,29,18,54,0.3829787234042553,0.07090689442574892,0.1111111111111111,0.3829787234042553,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-100,High,18,6,28,18,54,0.391304347826087,0.07195790665661354,0.1111111111111111,0.391304347826087,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,-50,High,18,6,28,18,54,0.391304347826087,0.07195790665661354,0.1111111111111111,0.391304347826087,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,0,High,18,7,26,18,54,0.4090909090909091,0.07412145088699214,0.12962962962962962,0.4090909090909091,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,50,High,16,9,27,16,54,0.37209302325581395,0.07371216890168013,0.16666666666666666,0.37209302325581395,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,100,High,15,6,30,15,54,0.3333333333333333,0.07027283689263066,0.1111111111111111,0.3333333333333333,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,150,High,15,3,33,15,54,0.3125,0.06690225301388088,0.05555555555555555,0.3125,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,200,High,16,2,31,16,54,0.3404255319148936,0.06911845969757288,0.037037037037037035,0.3404255319148936,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,250,High,18,0,35,18,54,0.33962264150943394,0.06505137344040325,0,0.33962264150943394,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,300,High,18,0,35,18,54,0.33962264150943394,0.06505137344040325,0,0.33962264150943394,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,350,High,15,0,35,15,54,0.3,0.0648074069840786,0,0.3,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,400,High,16,0,36,16,54,0.3076923076923077,0.06400386879521874,0,0.3076923076923077,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,450,High,17,1,34,17,54,0.3333333333333333,0.06600983619844496,0.018518518518518517,0.3333333333333333,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,500,High,16,4,31,16,54,0.3404255319148936,0.06911845969757288,0.07407407407407407,0.3404255319148936,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,550,High,17,6,28,17,54,0.37777777777777777,0.07227443506755833,0.1111111111111111,0.37777777777777777,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,600,High,16,8,27,16,54,0.37209302325581395,0.07371216890168013,0.14814814814814814,0.37209302325581395,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,650,High,16,9,26,16,54,0.38095238095238093,0.07493293261613744,0.16666666666666666,0.38095238095238093,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,700,High,22,10,19,22,54,0.5365853658536586,0.07787756353770711,0.18518518518518517,0.5365853658536586,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,750,High,29,6,15,29,54,0.6590909090909091,0.07146042812198869,0.1111111111111111,0.6590909090909091,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,800,High,31,5,13,31,54,0.7045454545454546,0.06878179546164175,0.09259259259259259,0.7045454545454546,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,850,High,36,3,11,36,54,0.7659574468085106,0.06175907832088043,0.05555555555555555,0.7659574468085106,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,900,High,38,1,14,38,54,0.7307692307692307,0.06151071859849643,0.018518518518518517,0.7307692307692307,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,950,High,38,0,11,38,54,0.7755102040816326,0.05960655481125619,0,0.7755102040816326,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1e3,High,40,3,6,40,54,0.8695652173913043,0.04965567310610094,0.05555555555555555,0.8695652173913043,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1050,High,37,6,6,37,54,0.8604651162790697,0.05284133775261973,0.1111111111111111,0.8604651162790697,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1100,High,41,6,6,41,54,0.8723404255319149,0.04867665951114657,0.1111111111111111,0.8723404255319149,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1150,High,41,6,6,41,54,0.8723404255319149,0.04867665951114657,0.1111111111111111,0.8723404255319149,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1200,High,39,6,6,39,54,0.8666666666666667,0.05067446333773946,0.1111111111111111,0.8666666666666667,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1250,High,41,6,6,41,54,0.8723404255319149,0.04867665951114657,0.1111111111111111,0.8723404255319149,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1300,High,39,5,6,39,54,0.8666666666666667,0.05067446333773946,0.09259259259259259,0.8666666666666667,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1350,High,44,2,6,44,54,0.88,0.04595650117230423,0.037037037037037035,0.88,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1400,High,43,3,5,43,54,0.8958333333333334,0.04409175381666768,0.05555555555555555,0.8958333333333334,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1450,High,42,4,6,42,54,0.875,0.047735163489123336,0.07407407407407407,0.875,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1500,High,37,7,7,37,54,0.8409090909090909,0.05514052126067156,0.12962962962962962,0.8409090909090909,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1550,High,35,7,9,35,54,0.7954545454545454,0.060810176251080324,0.12962962962962962,0.7954545454545454,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1600,High,33,9,9,33,54,0.7857142857142857,0.06331466145913703,0.16666666666666666,0.7857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1650,High,33,9,9,33,54,0.7857142857142857,0.06331466145913703,0.16666666666666666,0.7857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1700,High,33,9,9,33,54,0.7857142857142857,0.06331466145913703,0.16666666666666666,0.7857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1750,High,33,9,9,33,54,0.7857142857142857,0.06331466145913703,0.16666666666666666,0.7857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1800,High,33,9,9,33,54,0.7857142857142857,0.06331466145913703,0.16666666666666666,0.7857142857142857,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1850,High,35,8,9,35,54,0.7954545454545454,0.060810176251080324,0.14814814814814814,0.7954545454545454,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1900,High,36,9,9,36,54,0.8,0.05962847939999438,0.16666666666666666,0.8,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,AAE,TRUE,1950,High,34,15,3,34,54,0.918918918918919,0.044874280652761625,0.2777777777777778,0.918918918918919,Native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-500,High,21,6,37,21,66,0.3620689655172414,0.0631056899077495,0.09090909090909091,0.3620689655172414,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-450,High,21,3,38,21,66,0.3559322033898305,0.062333774883160976,0.045454545454545456,0.3559322033898305,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-400,High,18,3,43,18,66,0.29508196721311475,0.05839500874678361,0.045454545454545456,0.29508196721311475,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-350,High,18,1,46,18,66,0.28125,0.056201150663820934,0.015151515151515152,0.28125,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-300,High,17,0,48,17,66,0.26153846153846155,0.05450985721367018,0,0.26153846153846155,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-250,High,14,2,49,14,66,0.2222222222222222,0.05237828008789241,0.030303030303030304,0.2222222222222222,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-200,High,12,3,51,12,66,0.19047619047619047,0.04947261729993521,0.045454545454545456,0.19047619047619047,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-150,High,9,3,49,9,66,0.15517241379310345,0.04754198431127886,0.045454545454545456,0.15517241379310345,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-100,High,9,3,54,9,66,0.14285714285714285,0.044086671417740544,0.045454545454545456,0.14285714285714285,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,-50,High,9,2,51,9,66,0.15,0.046097722286464436,0.030303030303030304,0.15,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,0,High,10,0,54,10,66,0.15625,0.045386523588368165,0,0.15625,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,50,High,12,0,53,12,66,0.18461538461538463,0.04812364593558783,0,0.18461538461538463,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,100,High,12,2,51,12,66,0.19047619047619047,0.04947261729993521,0.030303030303030304,0.19047619047619047,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,150,High,14,3,48,14,66,0.22580645161290322,0.05310031559697429,0.045454545454545456,0.22580645161290322,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,200,High,15,3,47,15,66,0.24193548387096775,0.054388492840573996,0.045454545454545456,0.24193548387096775,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,250,High,14,3,45,14,66,0.23728813559322035,0.055385012397792456,0.045454545454545456,0.23728813559322035,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,300,High,12,3,44,12,66,0.21428571428571427,0.054832105255624174,0.045454545454545456,0.21428571428571427,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,350,High,12,0,48,12,66,0.2,0.051639777949432225,0,0.2,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,400,High,14,0,47,14,66,0.22950819672131148,0.0538416293871785,0,0.22950819672131148,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,450,High,18,0,42,18,66,0.3,0.05916079783099616,0,0.3,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,500,High,19,0,39,19,66,0.3275862068965517,0.06162644471939888,0,0.3275862068965517,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,550,High,23,0,32,23,66,0.41818181818181815,0.06651121369895824,0,0.41818181818181815,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,600,High,24,2,32,24,66,0.42857142857142855,0.06613000712661081,0.030303030303030304,0.42857142857142855,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,650,High,25,1,33,25,66,0.43103448275862066,0.06502569219449274,0.015151515151515152,0.43103448275862066,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,700,High,29,0,30,29,66,0.4915254237288136,0.06508510485393613,0,0.4915254237288136,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,750,High,29,3,27,29,66,0.5178571428571429,0.06677268507633347,0.045454545454545456,0.5178571428571429,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,800,High,33,3,26,33,66,0.559322033898305,0.06463468349168773,0.045454545454545456,0.559322033898305,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,850,High,33,3,26,33,66,0.559322033898305,0.06463468349168773,0.045454545454545456,0.559322033898305,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,900,High,36,3,26,36,66,0.5806451612903226,0.06266865733574838,0.045454545454545456,0.5806451612903226,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,950,High,37,3,24,37,66,0.6065573770491803,0.06254775557771691,0.045454545454545456,0.6065573770491803,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,1e3,High,38,3,24,38,66,0.6129032258064516,0.06185999561998688,0.045454545454545456,0.6129032258064516,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,1050,High,37,2,25,37,66,0.5967741935483871,0.062299323698376936,0.030303030303030304,0.5967741935483871,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,1100,High,42,0,22,42,66,0.65625,0.059369859974885406,0,0.65625,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,1150,High,45,0,21,45,66,0.6818181818181818,0.05733238398971739,0,0.6818181818181818,Non-native dialect,Lower third (19),High (27),AAE (21),93
429D,AAE,MAE,FALSE,1200,High,45,0,20,45,66,0.6923076923076923,0.057246800579634674,0,0.6923076923076923,Non-native dialect,Lower third (19),High (27),AAE (21),93
